isi,xPos,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,instr.started,instr.stopped,startMouse.started,startMouse.stopped,pos1.started,pos1.stopped,pos2.started,pos2.stopped,pos3.started,pos3.stopped,pos4.started,pos4.stopped,targImage.started,targImage.stopped,response.keys,response.corr,response.started,response.stopped,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,mouseResp.started,mouseResp.stopped,ready.started,ready.stopped,mouseGo.started,mouseGo.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,17.320901094994042,None,0.0040713872294873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,0.375,n,0,0,0,7,,,,,,,,,82.46706198598258,None,82.46706198598258,None,82.46706198598258,None,82.46706198598258,None,83.44890486000804,None,None,0,83.44890486000804,None,0.37238095238095237,-0.025714285714285714,1,0,0,targImage,1.0010082728404086,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,0.375,n,0,1,1,3,,,,,,,,,85.43362936499761,None,85.43362936499761,None,85.43362936499761,None,85.43362936499761,None,86.41659211198566,None,None,0,86.41659211198566,None,0.37238095238095237,-0.0009523809523809524,1,0,0,targImage,1.0054686458024662,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,0.125,b,0,2,2,6,,,,,,,,,86.7825456619903,None,86.7825456619903,None,86.7825456619903,None,86.7825456619903,None,87.76591578699299,None,None,0,87.76591578699299,None,0.11714285714285715,-0.03142857142857143,1,0,0,targImage,1.0090956238273066,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,-0.125,v,0,3,3,5,,,,,,,,,88.39930704998551,None,88.39930704998551,None,88.39930704998551,None,88.39930704998551,None,89.38311070000054,None,None,0,89.38311070000054,None,-0.08095238095238096,-0.024761904761904763,1,0,0,targImage,1.009700371796498,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,-0.375,c,0,4,4,4,,,,,,,,,90.04913987198961,None,90.04913987198961,None,90.04913987198961,None,90.04913987198961,None,91.03307894800673,None,None,0,91.03307894800673,None,-0.3142857142857143,-0.010476190476190476,1,0,0,targImage,1.0041149918106385,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,-0.125,v,0,5,5,1,,,,,,,,,91.31633363498258,None,91.31633363498258,None,91.31633363498258,None,91.31633363498258,None,92.29981868900359,None,None,0,92.29981868900359,None,-0.05714285714285714,0.011428571428571429,1,0,0,targImage,1.0043867288040929,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,0.125,b,0,6,6,2,,,,,,,,,92.73285107698757,None,92.73285107698757,None,92.73285107698757,None,92.73285107698757,None,93.71666446598829,None,None,0,93.71666446598829,None,0.09523809523809523,0.007619047619047619,1,0,0,targImage,1.007066041813232,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1,-0.375,c,0,7,7,0,,,,,,,,,94.08314674400026,None,94.08314674400026,None,94.08314674400026,None,94.08314674400026,None,95.06584271998145,None,None,0,95.06584271998145,None,-0.32095238095238093,-0.037142857142857144,1,0,0,targImage,1.0046611918369308,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.86409369000467,None,0.013351695815799758,None,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.3332,0.375,n,,,,,0,0,0,27,,,,,99.48868528098683,None,99.48868528098683,None,99.48868528098683,None,99.48868528098683,None,101.8159234719933,None,None,0,101.8159234719933,None,0.33714285714285713,0.0,1,0,0,targImage,2.3437814968056045,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
2.7776,-0.375,c,,,,,0,1,1,32,,,,,102.44795986899408,None,102.44795986899408,None,102.44795986899408,None,102.44795986899408,None,105.21561987398309,None,None,0,105.21561987398309,None,-0.2838095238095238,-0.024761904761904763,1,0,0,targImage,2.789550817804411,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.4444,-0.375,c,,,,,0,2,2,8,,,,,105.96516068000346,None,105.96516068000346,None,105.96516068000346,None,105.96516068000346,None,107.39841502098716,None,None,0,107.39841502098716,None,-0.35333333333333333,-0.002857142857142857,1,0,0,targImage,1.4559867187927011,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
1.6666,0.375,n,,,,,0,3,3,15,,,,,108.1483099659963,None,108.1483099659963,None,108.1483099659963,None,108.1483099659963,None,109.79931321300683,None,None,0,109.79931321300683,None,0.3076190476190476,0.05333333333333334,1,0,0,targImage,1.6763719658192713,None,,,,,,,999,001,2020_Aug_11_1829,choiceRTT,2020.1.2,59.83891770471773,
